Question,Réponse
Combien de brevets ont été déposés par l'UIR ?,"L’UIR a déposé 650 brevets, dont 108 à l’international, ce qui en fait la 1ère université en Afrique et dans la région MENA en matière de brevets (source : OMPIC)."
Combien de chercheurs de l'UIR figurent parmi les 2 % des meilleurs mondiaux ?,"6 chercheurs de l’UIR figurent parmi les 2 % des meilleurs scientifiques au monde, selon le classement de l’Université Stanford."
L'UIR possède-t-elle un hôpital universitaire ?,"Oui. L’UIR dispose d’un Hôpital Universitaire International en cours de finalisation, avec une ouverture prévue en 2025. Il comptera 450 lits et proposera des soins dans 15 spécialités médicales et chirurgicales."
Le campus de l'UIR est-il certifié HQE ?,Oui. Le campus de l’UIR est certifié HQE (Haute Qualité Environnementale) — c’est le premier campus en Afrique à avoir obtenu cette distinction.
L'UIR dispose-t-elle d'une centrale photovoltaïque ?,"Oui. L’UIR dispose d’une centrale photovoltaïque sur son campus, avec une capacité de production annuelle de 470 MWh. Elle fait partie des équipements durables du campus"
Comment contacter l'UIR pour des informations générales ?,
Quels dossiers seront pris en compte pour l'obtention d'une bourse à l'UIR ?,Seuls les dossiers de bourse déposés en ligne seront traités par nos services. Les dossiers incomplets ou déposés hors-délais seront systématiquement rejetés.
Est-ce que les étudiants ayant déjà bénéficié d'une bourse peuvent faire un recours ?,"Non, les étudiants ayant déjà bénéficié d'une bourse et qui font un recours ne peuvent, en aucun cas, redéposer leurs demandes en ligne."
Est-ce que la bourse est reconduite en cas de redoublement ?,"Non, la bourse octroyée par l'UIR n'est pas reconduite en cas de redoublement."
Quels frais sont couverts par la bourse de l'UIR ?,"La bourse octroyée par l'UIR couvre exclusivement les frais de scolarité à l'UIR, que ce soit partiellement ou totalement. Elle ne couvre pas les frais de scolarité qui sont dus chez les partenaires académiques de l'UIR, par exemple, dans le cas de cursus en double diplomation."
Est-ce que je peux me faire rembourser les frais d'inscription si j'obtiens une bourse ?,"Non, le remboursement des frais d'inscription, en cas de désistement, ne peut avoir lieu dans le cas où une bourse partielle ou totale est obtenue."
Quelles sont les bourses d'études proposées par l'UIR ?,L'UIR propose des bourses d'études partielles ou totales réservées aux meilleurs étudiants qui se trouvent dans l'incapacité de payer les frais de scolarité.
Qu'est-ce que la bourse d'études couvre-t-elle ?,"La bourse d'études correspond à une réduction partielle ou à une exonération totale des frais de scolarité, et éventuellement des frais de logement. Elle est destinée aux étudiants issus de milieux défavorisés ou modestes. Les détails sur les modalités de la bourse sont décrits dans le ""Règlement pour l'octroi d'une bourse d'études""."
Quels documents sont nécessaires pour constituer le dossier de bourse ?,"Le dossier de bourse comprend le formulaire de bourse à renseigner en ligne, ainsi que d'autres pièces demandées. Vous devez le déposer en ligne à partir de ""bourse.uir.ac.ma"" en utilisant votre adresse e-mail UIR et votre mot de passe. Ce dossier permettra à l'UIR de prendre connaissance de votre situation financière et familiale actuelle. Assurez-vous de fournir toutes les pièces demandées pour permettre à la commission d'évaluer votre dossier de manière appropriée. Soyez assuré que toutes les informations transmises à la commission sont confidentielles."
Quels types de bourses propose l’UIR ?,L’UIR propose 3 types de bourses selon les profils : Bourse sociale Bourse sportive Bourse sociale  Bourse spéciale
Qu’est-ce qu’une bourse sociale ?,La bourse sociale est destinée aux étudiants dont la situation financière nécessite un soutien. Elle est attribuée sur critères sociaux après étude de dossier.
Qu’est-ce qu’une bourse sportive ?,"La bourse sportive est accordée aux étudiants ayant un excellent niveau sportif, reconnu par un palmarès ou une participation à des compétitions officielles."
Qu’est-ce qu’une bourse spéciale ?,"La bourse spéciale est octroyée dans le cadre de partenariats spécifiques ou selon certains critères prédéfinis (institutionnels, associatifs, etc.)."
Peut-on cumuler plusieurs bourses ?,"Non, il n’est pas possible de cumuler plusieurs bourses à l’UIR. Une seule bourse peut être attribuée par étudiant, selon le type de dossier."
Où déposer ma demande de bourse ?,Rendez-vous sur bourse.uir.ac.ma pour remplir le formulaire et soumettre les documents demandés.
Est-ce que l’UIR est une université publique ?,L’Université Internationale de Rabat est une université semi-publique. Elle est la première université marocaine créée en partenariat avec l’Etat marocain concrétisant ainsi le premier partenariat public-privé dans le secteur de l’enseignement supérieur.
,
L’UIR est-elle reconnue par l’état ?,"L’Université Internationale de Rabat est reconnue par l’Etat. La reconnaissance signifie que les diplômes délivrés par l’UIR sont équivalents aux diplômes délivrés par les établissements publics, permettant ainsi d’accéder à la fonction publique, aux concours d’Etat et aux centres doctoraux."
,
Quels sont les établissements ou les écoles de l’UIR ?,"L’Université Internationale de Rabat est constituée de 4 collèges distincts, chaque collège englobe à son tour plusieurs écoles/facultés :"
,Collège of  Social Sciences
,Sciences Po
,Ecole de droit de Rabat
,IHECS Afrique communication et Médias
,Collège of Engineering & Architecture
,Ecole Supérieure d’Ingénierie de l’Energie
,School of Aerospace Engineering & Automotive Engineering
,Ecole Supérieure d’Informatique et du Numérique
,Ecole d'Ingénierie en Topographie de Rabat
,Ecole d’Architecture de Rabat
,Collège of Health Sciences
,Faculté Internationale de Médecine Dentaire
,Faculté Internationale de Médecine de Rabat
,Ecole Supérieure des Sciences Paramédicales de Rabat
,Collège of Management
,Rabat Business School
,
Pourquoi s’inscrire à l’UIR ?,"L’Université Internationale de Rabat est la première université créée dans le cadre d’un partenariat public-privé au Maroc, elle propose une offre de formation pluridisciplinaire élargie avec différentes filières dans des domaines de pointe (ingénierie, sciences politiques, communication, média, architecture, médecine dentaire, management)"
,"L'UIR est la première université à avoir obtenu la reconnaissance de l'Etat marocain en 2015 ce qui donne le privilège d'offrir aux étudiants une diplomation équivalente à celle des établissements étatiques, en plus des possibilités de double diplomation avec plus de 217 universités partenaires autour du monde faisant d’elle une université ouverte à 100% vers l’international."
,"Les étudiants bénéficient d’un accompagnement personnalisé même avant leur inscription à l’UIR, au biais d’une orientation par métier, pendant leur études (orientation, écoute, stages) et même après la diplomation avec un accompagnement lors de leur insertion professionnelle."
,"L’UIR est dotée d’un campus moderne sur 300 000 m2 (30 hectares) permettant aux étudiants de vivre une expérience unique, épanouie et riche."
Comment puis-je choisir pour quel établissement de l’UIR candidater ?,
,Le choix de l’établissement revient à faire un choix par rapport au métier que tu souhaites exercer dans le futur. Le département promotion de l’UIR se charge de t’orienter et répondre à toutes tes questions.
,
Y-a-t-il un processus d’accompagnement lors de la première année à l’UIR ?,"A chaque rentrée universitaire, l’Université Internationale de Rabat accorde une grande importance à l’intégration de ses nouveaux étudiants, elle organise ainsi une semaine d’intégration pour les accueillir dans cette nouvelle aventure. En plus de la semaine d’intégration, différentes activités sont mises en place en coordination avec le BDE (Bureau Des Etudiants) afin de faire découvrir aux nouveaux le campus, les anciens étudiants ainsi que pour se familiariser avec le staff administratif et professeurs."
,"Après cette semaine, l’UIR accompagne activement ses étudiants tout au long de leur cursus universitaire, le corps professoral et administratif sont tous impliqués que ça soit dans le cadre des études et échanges à l’international, ou via une cellule d’écoute, un service pour l’assistance lors de la recherche de stage et un département spécial pour la vie estudiantine et associative des étudiants."
,
Existe-t-il un service d’orientation et accompagnement pour les bacheliers ?,L’UIR est dotée d’un département promotion qui se charge d’orienter les étudiants et de répondre à leurs interrogations.
,
Existe-t-il des programmes en anglais ?,"Oui, l’Université Internationale de Rabat propose des programmes en anglais tels que dans l’école de management « Rabat Business School », l'école d’ingénierie automobile et aéronautique."
,"Dans les autres programmes, l’anglais est une langue qui occupe tout aussi bien une grande importance, elle y est enseignée tout au long du parcours universitaire."
,
Puis-je changer de programme de formation au cours d’une année universitaire ?,"Non, il est impossible de changer de programme de formation au cours d’une année universitaire, il faut attendre la fin de l’année universitaire pour le faire."
,
Quelle est la différence entre la formation initiale et la formation continue ?,"La formation initiale est un type de formation destinée aux étudiants principalement, à l’inverse de la formation continue qui s’adresse aux professionnels (salariés, entrepreneurs, fonctionnaires) ou aux personnes dotées d’une expérience professionnelle et qui envisagent de se former pour diverses raisons (obtenir un diplôme de niveau supérieur, se reconvertir, changer de spécialisation…)"
Que comprennent les frais de scolarité à l’UIR ?,Les frais de scolarité couvrent :
,L’enseignement académique de haut niveau
,L’accès aux infrastructures sportives
,Les cours de langues optionnels
,"Les frais ne couvrent pas : transport, restauration, hébergement ou dépenses personnelles."
,
Quel est le montant des frais d’inscription à l’UIR ?,Les frais d’inscription varient selon les collèges :
,10 000 DHS pour la majorité des formations
,20 000 DHS pour le programme ITB (Collège de Management)
,📌 Ces frais sont non remboursables.
,
Quels sont les frais de scolarité pour un bachelier ?,Cela dépend du programme choisi. Voici quelques exemples :
,Médecine : 120 000 DHS/an
,Architecture : 85 000 DHS/an
,"Droit, Économie, Sciences Politiques… : 62 000 DHS/an"
,"Les frais sont annuels, à régler à l’inscription."
,
Comment puis-je payer mes frais de scolarité ?,Trois options sont disponibles :
,Paiement en ligne par carte bancaire via le site web
,Virement ou versement bancaire auprès d’une agence CIH Bank
,Paiement par chèque bancaire
,
Quelles sont les coordonnées bancaires de l’UIR ?,Pour les étudiants marocains :
,RIB : CIH BANK 230 810 594 293 822 101 460 075
,Swift : CIHMMAMC
,Bénéficiaire : Université Internationale de Rabat
,
,📌 Pour les étudiants internationaux :
,IBAN : CIH BANK MA64230810594293822103320341
,Swift : CIHMMAMC
,Bénéficiaire : Université Internationale de Rabat
,
Que dois-je faire après avoir effectué un virement ?,Scannez le justificatif de paiement
,Indiquez votre nom et prénom
,Envoyez-le par mail à : comptable@uir.ac.ma
,
Que se passe-t-il en cas de retard de paiement ?,L’UIR peut entamer une procédure de recouvrement.
,"Mais une facilité de paiement peut être accordée, sur demande et après étude de votre dossier."
,
Puis-je bénéficier d’une bourse ou d’un prêt étudiant ?,"Oui ! L’UIR propose des solutions de financement (bourses, prêts) pour accompagner les étudiants dans le besoin."
,
Quand faut-il déposer la demande de financement ?,"Lors de l’inscription, en plus du règlement des frais d’inscription."
,Il faut aussi remettre deux titres de paiement couvrant la totalité des frais de scolarité.
,
Où puis-je trouver plus d’informations sur les bourses ou prêts ?,"Pour plus d’informations, vous pouvez consulter notre site web bourse.uir.ac.ma ou écrire à : bourse@uir.ac.ma"
Est-ce que les chambres de la résidence sont équipées ?,"Oui, les chambres du complexe résidentiel de l’UIR sont équipées de :"
,Sommier et matelas
,Bureau
,Etagères
,Placards de rangement à clé
,"Sanitaires (lavabo, WC, douche, évier, miroir)"
,Rideaux en tissu
,Mini réfrigérateur
,Chauffage électrique
,
Le campus dispose-t-il d’un restaurant ?,Oui le campus dispose d'un restaurant universitaire et 4 cafétérias qui offrent aux étudiants des repas équilibrés à prix modique au plus près de leur lieu de formation.
,
Y-a-t-il un couvre-feu pour la résidence ?,"Les horaires d'accès de la cité universitaire sont de 06h00 à 00h00 et les horaires de visites, de 09h00 à 22h30."
,
Est-ce que l’université propose des services médicaux aux étudiants ?,"Afin de veiller sur la santé de ses étudiants, l’Université Internationale de Rabat propose un centre médical accessible à l’ensemble des étudiants de l’UIR avec la mise à disposition d’une ambulance 24h/24 7j/7 sur le campus en cas de nécessité."
,"L’UIR veille aussi sur la santé mentale de ses étudiants, et met à disposition une cellule d’écoute."
,
Existe-t-il une bibliothèque au sein de l’université ?,"Avec plus de 80 000 ouvrages, la bibliothèque de l’UIR propose des ouvrages dans plusieurs disciplines : Ingénierie, automobile, aérospatiale, Architecture, Sciences politiques, Droit des affaires, Ingénierie de l'Energie, Médecine, Informatique et logistique en plus de 80 000 ressources électroniques."
,"La bibliothèque est accessible sur le campus, cependant l’UIR détient aussi une bibliothèque numérique pour un accès digital."
Quels types de chambres sont disponibles à la résidence universitaire de l’UIR ?,Chambre simple
,Chambre simple avec balcon
,Chambre simple plus
,Chambre double
,Chambre double plus
,
Quels sont les tarifs des chambresde la résidence universitaire de l’UIR ?,Chambre simple (RDC) : 2 800 DH/mois
,Chambre simple plus (RDC) : 3 150 DH/mois
,Chambre double (RDC) : 2 000 DH/mois
,Chambre double plus (RDC) : 2 200 DH/mois
,
Quelles sont les modalités de réservation d’une chambre à l’UIR ?,"Pour réserver une chambre, les étapes sont les suivantes :"
,
,Accéder à la plateforme de réservation : citeuir.uir.ac.ma
,Choisir le type de chambre souhaité.
,"Effectuer le paiement du 1er semestre, du forfait mensuel pour les espaces communs (84 DH/mois) et du dépôt de garantie de 3 000 DH TTC dans un délai de 72 heures suivant la demande de réservation."
,Télécharger le justificatif de paiement sur la plateforme
,
Quels sont les modes de paiement acceptés pour la réservation ?,Les paiements peuvent être effectués via :
,Chèque à l’ordre de « Foncière UIR »
,Carte bancaire
,"Virement bancaire sur le compte de la Foncière UIR auprès de la banque CIH, RIB : 230 810 4592924221014600 12"
,Paiement en ligne via le Centre Monétique Interbancaire (CMI)
,
Est-il possible d’annuler une réservation et d’obtenir un remboursement ?,"Oui, les conditions d'annulation sont les suivantes :"
,Annulation avant le 31 août : remboursement intégral.
,Annulation avant le 1er octobre (sans check-in) : facturation du mois de septembre.
,Après check-in : aucune demande d’annulation n’est recevable et aucun remboursement ne sera effectué.
,
Qui peut bénéficier d’une chambre à la résidence universitaire de l’UIR ?,Les chambres sont attribuées en priorité aux :
,Nouveaux résidents
,Résidents souhaitant changer de chambre
,"Les étudiants résidant dans la région de Rabat, Salé, Témara ne sont pas priorisés lors de la campagne de réservation. Leurs demandes sont enregistrées sur une liste d’attente traitée en fonction de la disponibilité en début d’année universitaire."
,
Quels services sont inclus dans le loyer ?,Le loyer comprend :
,"Forfait énergétique : eau froide (2 m³), eau chaude (1 m³) et électricité (20 KWH)"
,Accès aux espaces communs : moyennant un forfait mensuel de 84 DH TTC
,
Où puis-je obtenir plus d'informations ou poser des questions sur l'hébergement ?,"Pour toute information complémentaire, vous pouvez :"
,Envoyer un e-mail à : hebergementuir@uir.ac.ma
,Appeler au : 05 30 11 20 65/66
,"Vous rendre aux locaux administratifs situés au RDC de la Résidence 6, du lundi au vendredi (8h30-19h00) et le samedi matin (8h30-13h00)."
Qu'est-ce que le PASS UIR ?,"Le PASS UIR est un service de navettes subventionné par l'Université Internationale de Rabat, destiné à faciliter les déplacements des étudiants entre le campus et les villes de Rabat, Salé et Témara."
Quelles sont les lignes desservies par le PASS UIR ?,Le service couvre plusieurs stations :
,"Rabat : Agdal (Agence INWI), Tour Hassan, Hay Riad, Biougnach"
,"Salé : Gare Tabriquet, Bab El Mrissa"
,"Témara : Parking ACIMA, Harhoura – Le Rivage Palace"
,
Quels sont les horaires des navettes ?,"Les navettes fonctionnent du lundi au vendredi, avec des départs réguliers le matin, l'après-midi et le soir. Des services sont également disponibles le samedi et le dimanche, bien que les horaires puissent varier."
Quel est le tarif du PASS UIR ?,Les tarifs pour l'année académique 2024/2025 sont les suivants :
,Annuel : 3 500 MAD
,Semestriel : 2 100 MAD
,Mensuel : 700 MAD
,
Quels documents dois-je présenter pour accéder aux navettes ?,Les étudiants doivent impérativement être munis de leur carte d'étudiant ou du reçu de paiement pour accéder aux navettes.
Le PASS UIR est-il disponible pendant les vacances universitaires ?,"Le service peut être suspendu pendant les vacances universitaires, les jours fériés et le mois d'août."
